Factura,Sucursal,Ciudad,Tipo,Genero,Categoria,Costo,Ventas,Fecha,Hora,Metodo de Pago,Resenia
662-47-5456,C,Houston,Member,Male,Fashion accessories,351.90,369.50,3/17/2019,19:06,Credit card,8.4
883-17-4236,C,Houston,Normal,Female,Sports and travel,28.78,30.22,3/2/2019,19:44,Credit card,7.2
290-68-2984,A,Nueva York,Normal,Male,Home and lifestyle,95.00,99.75,3/16/2019,11:22,Cash,5.2
704-11-6354,A,Nueva York,Member,Male,Home and lifestyle,471.20,494.76,1/6/2019,11:23,Cash,8.9
110-48-7033,B,Chicago,Member,Male,Fashion accessories,130.48,137.00,1/29/2019,14:12,Cash,9
366-93-0948,A,Nueva York,Member,Male,Electronic accessories,66.35,69.67,1/31/2019,10:46,Credit card,9.7
729-09-9681,A,Nueva York,Member,Male,Home and lifestyle,155.46,163.23,2/5/2019,10:16,Ewallet,8.7
151-16-1484,A,Nueva York,Member,Male,Electronic accessories,129.00,135.45,2/13/2019,12:38,Ewallet,6.5
380-94-4661,C,Houston,Member,Male,Male555,10000,523215,2/7/2019,13:05,Credit card,6.9
850-41-9669,A,Nueva York,Normal,Female,Electronic accessories,675.54,709.32,3/19/2019,13:25,Ewallet,6.2
821-07-3596,C,Houston,Normal,Female,Fashion accessories,65.80,69.09,3/7/2019,14:53,Ewallet,5.6
655-85-5130,B,Chicago,Member,Female,Fashion accessories,153.20,160.86,3/13/2019,19:22,Cash,5.7
447-15-7839,A,Nueva York,Member,Female,Sports and travel,222.40,233.52,2/9/2019,11:00,Cash,4.2
154-74-7179,B,100%,Normal,Male,Sports and travel,54.45,57.17,2/26/2019,19:24,Ewallet,7.9
253-12-6086,A,Nueva York,Member,Female,,688.80,,3/12/2019,12:43,Credit card,8.7
808-65-0703,C,Houston,Normal,Male,Home and lifestyle,141.88,148.97,3/14/2019,17:22,Credit card,6.9
571-94-0759,B,Chicago,Member,Female,Food and beverages,746.00,783.30,1/8/2019,20:55,Cash,9.5
144-51-6085,A,Nueva York,Member,Male,Home and lifestyle,282.96,297.11,1/5/2019,16:05,Credit card,4.4
731-14-2199,A,Nueva York,Member,Female,Home and lifestyle,355.40,373.17,1/4/2019,13:34,Ewallet,7
783-09-1637,B,Chicago,Normal,Female,Sports and travel,337.15,354.01,3/6/2019,18:13,Ewallet,6.3
687-15-1097,C,Houston,Member,Female,Health and beauty,42.24,44.35,1/3/2019,19:17,Cash,9.7
126-54-1082,A,Nueva York,Member,Female,Home and lifestyle,193.86,203.55,1/7/2019,11:44,Credit card,8.8
633-91-1052,A,Nueva York,Normal,Female,Home and lifestyle,24.06,25.26,1/27/2019,15:51,Cash,5.1
477-24-6490,ara,Chicago,Normal,Female,Health and beauty,598.26,628.17,2/26/2019,16:52,Ewallet,7.9
566-19-5475,B,Chicago,Normal,Male,Fashion accessories,335.79,352.58,1/7/2019,20:52,Cash,6.2
526-86-8552,C,Houston,Member,Female,Home and lifestyle,218.20,229.11,1/7/2019,17:36,Cash,7.1
376-56-3573,C,Houston,Normal,Female,Fashion accessories,381.68,400.76,2/2/2019,13:23,Ewallet,6.4
537-72-0426,C,Houston,Member,Male,Fashion accessories,709.90,745.40,3/20/2019,16:28,Cash,5.7
828-61-5674,A,Nueva York,Member,Male,Sports and travel,440.20,462.21,3/20/2019,19:57,Credit card,9.6
136-08-6195,A,Nueva York,Normal,Female,Home and lifestyle,559.68,587.66,2/15/2019,17:01,Credit card,6.4
523-38-0215,aaswee,Houston,Normal,Male,Home and lifestyle,37.00,38.85,3/6/2019,13:29,Credit card,7.9
490-29-1201,,Nueva York,Normal,Female,Sports and travel,15.34,16.11,1/6/2019,11:09,Cash,6.5
667-92-0055,A,Nueva York,Member,Male,Health and beauty,598.98,628.93,3/4/2019,15:02,Ewallet,8.5
565-17-3836,A,Nueva York,Member,Female,Health and beauty,190.68,200.21,3/12/2019,14:21,Cash,9.1
498-41-1961,B,Chicago,Normal,Male,Health and beauty,333.40,350.07,2/20/2019,18:01,Cash,7.6
593-95-4461,C,Houston,Member,Male,Home and lifestyle,74.86,78.60,3/24/2019,14:49,Cash,6.9
226-71-3580,C,Houston,Normal,Female,Sports and travel,213.75,224.44,1/31/2019,12:02,Cash,9.5
283-79-9594,B,Chicago,Normal,Female,Food and beverages,339.57,356.55,1/25/2019,13:30,,5.2
430-60-3493,A,Nueva York,Member,Female,Home and lifestyle,664.16,697.37,2/3/2019,14:38,Cash,4.2
139-20-0155,B,Chicago,Member,Male,Electronic accessories,403.00,423.15,1/24/2019,17:37,Credit card,7
558-80-4082,C,Houston,Normal,Male,Electronic accessories,194.95,204.70,3/14/2019,17:20,Ewallet,6
278-97-7759,A,Nueva York,Member,Female,Electronic accessories,62.48,65.60,2/18/2019,20:29,Cash,4.7
316-68-6352,A,Nueva York,Member,Female,Food and beverages,72.72,76.36,1/21/2019,10:00,Cash,7.1
585-03-5943,B,Chicago,Normal,Male,Health and beauty,181.10,190.16,3/13/2019,,Ewallet,5.9
211-05-0490,C,Houston,Member,Female,Electronic accessories,259.60,272.58,3/3/2019,13:42,Cash,7.5
727-75-6477,C,Houston,Normal,Male,Electronic accessories,115.36,121.13,3/29/2019,14:44,Cash,6.4
744-02-5987,A,Nueva York,Member,Male,Home and lifestyle,470.28,493.79,1/10/2019,14:16,Ewallet,5.8
,A,Nueva York,Member,Male,Home and lifestyle,240.04,252.04,1/25/2019,15:54,,4.5
779-06-0012,C,C,Member,Member,2/14/2019,88.61,93.04,1/19/2019,10:21,Cash,7.7
446-47-6729,C,Houston,Normal,Male,Fashion accessories,199.64,209.62,1/2/2019,18:09,Credit card,6.7
573-10-3877,Male,Chicago,Member,Male,Health and beauty,39.01,40.96,3/12/2019,16:46,Credit card,4.7
735-06-4124,C,Houston,Normal,Male,Food and beverages,48.61,51.04,2/25/2019,15:31,Cash,4.4
439-54-7422,A,Nueva York,Normal,Female,Female,204.76,215.00,3/18/2019,17:15,3/18/2019,4.7
396-90-2219,B,Chicago,Normal,Female,Electronic accessories,119.68,125.66,2/23/2019,12:29,Cash,8.6
411-77-0180,A,Nueva York,A,Male,Electronic accessories,505.40,530.67,3/26/2019,20:14,3/18/2019,4.3
286-01-5402,A,Nueva York,Normal,Female,66232,281.61,295.69,3/30/2019,13:22,Cash,9.6
803-17-8013,A,Nueva York,Member,Female,Home and lifestyle,710.32,Cash,2/17/2019,17:09,Cash,4.1
512-98-1403,A,Nueva York,Member,Female,Electronic accessories,79.44,83.41,3/21/2019,10:40,Ewallet,4.7
848-42-2560,A,Nueva York,Normal,Female,Fashion accessories,163.82,172.01,3/5/2019,17:43,Cash,7.8
532-59-7201,B,,Member,Male,2/14/2019,479.58,503.56,1/31/2019,14:04,Cash,5.5
181-94-6432,C,Male,Member,Male,Fashion accessories,138.66,145.59,2/5/2019,19:05,Ewallet,9.7
870-76-1733,A,Nueva York,Member,Female,Food and beverages,71.15,74.71,2/1/2019,10:08,Credit card,4.4
423-64-4619,A,Nueva York,Member,Female,Health and beauty,139.95,146.95,3/7/2019,13:12,Cash,5
227-07-4446,C,Houston,Member,Female,Ewallet,781.30,820.37,2/10/2019,20:51,Cash,4.4
174-36-3675,C,Houston,Member,Male,Food and beverages,198.74,208.68,2/14/2019,17:29,Cash,5.2
428-83-5800,2/27/2019,Houston,Member,Female,Food and beverages,63.24,66.40,2/9/2019,10:25,Cash,7.3
603-07-0961,C,Houston,Member,Male,Electronic accessories,373.95,,1/10/2019,11:34,Cash,4.9
704-20-4138,C,Houston,Member,Female,Health and beauty,207.69,218.07,3/11/2019,18:58,Credit card,8.1
787-15-,C,Houston,Member,Male,Health and beauty,176.28,185.09,2/18/2019,16:28,Ewallet,8.4
649-11-3678,C,Male,Normal,Female,Food and beverages,206.37,216.69,,20:26,Cash,5.5
622-20-1945,C,Houston,Normal,Female,Health and beauty,39.42,41.39,1/18/2019,15:08,Cash,8.4
372-94,A,Nueva York,Normal,Male,Health and beauty,91.56,96.14,2/15/2019,18:03,Ewallet,9.8
563-91-7120,A,Nueva York,Normal,Female,Fashion accessories,308.85,324.29,3/8/2019,13:21,Cash,6.7
746-54-5508,A,Nueva York,Normal,Male,Home and lifestyle,129.12,135.58,1/17/2019,12:48,Credit card,9.4
276-54-0879,B,Chicago,Normal,Male,Sports and travel,390.96,410.51,3/12/2019,19:53,Ewallet,6.4
815-11-1168,A,Nueva York,Member,Male,Food and beverages,498.90,523.85,3/9/2019,19:09,Cash,5.4
719-76-3868,,Houston,Member,Male,Food and beverages,377.04,395.89,3/12/2019,16:30,Cash,8.6
730-61-8757,B,Chicago,Member,Male,Health and beauty,204.52,214.75,1/25/2019,10:11,Credit card,4
340-66-0321,A,Nueva York,Member,Male,Electronic accessories,145.44,152.71,3/25/2019,13:07,Cash,7.6
868-81-1752,B,Chicago,Normal,Male,Home and lifestyle,198.18,208.09,2/7/2019,18:48,Cash,6.8
634-97-8956,A,Nueva York,Normal,Male,Food and beverages,98.70,103.64,2/17/2019,17:27,Credit card,9.1
566-71-1091,A,Nueva York,Normal,Male,Fashion accessories,385.10,404.36,2/3/2019,15:59,Cash,5.5
442-48,A,Nueva York,Member,Male,Food and beverages,46.96,49.31,3/14/2019,11:21,Credit card,7.9
835-16-0096,C,Male,Member,Male,Sports and travel,73.50,77.18,3/24/2019,13:48,Ewallet,8.5
527-09-6272,A,Nueva York,Member,Female,55%,142.25,149.36,3/21/2019,10:17,Credit card,9.1
898-04-2717,A,Nueva York,Normal,Male,Fashion accessories,687.60,721.98,3/19/2019,15:49,Ewallet,7.5
692-27-8933,B,Chicago,Normal,Female,Sports and travel,347.70,365.09,2/24/2019,13:02,Cash,5.2
633-09-3463,C,Houston,Normal,Female,Electronic accessories,142.95,150.10,3/28/2019,12:58,Credit card,9.5
374-17-3652,B,Chicago,Member,Female,Food and beverages,385.38,404.65,2/5/2019,15:26,Credit card,8.9
378-07,B,Chicago,Member,Male,Electronic accessories,144.27,151.48,2/10/2019,18:23,Credit card,7.8
433-75-6987,B,Chicago,Member,Female,Health and beauty,391.79,411.38,3/5/2019,19:06,Ewallet,8.9
873-95-4984,B,Chicago,Member,Female,,538.30,565.22,2/15/2019,20:21,Cash,7.7
416-13-5917,C,Houston,Normal,Female,Food and beverages,485.15,509.41,1/30/2019,16:24,Ewallet,9.3
150-89-8043,A,Nueva York,Normal,Male,Sports and travel,133.95,140.65,2/14/2019,15:04,Cash,6.2
135-84-8019,A,Nueva York,Normal,Female,Fashion accessories,701.37,736.44,2/27/2019,16:10,Ewallet,7.6
441-94-7118,A,Nueva York,Member,Male,Electronic accessories,71.95,75.55,,12:14,Cash,7.3
725-96-3778,C,Houston,Member,FemaleMember,Home and lifestyle,714.00,749.70,1/20/2019,10:13,Cash,4.7
531-80-1784,A,Nueva York,Normal,Male,Electronic accessories,182.14,191.25,3/28/2019,17:38,Cash,5.1
400-45-1220,B,Chicago,Normal,Female,Health and beauty,135.00,141.75,2/27/2019,11:06,Credit card,4.8
860-79-0874,C,Houston,Member,Female,Fashion accessories,993.00,"1,042.65",2/15/2019,14:53,Credit card,6.6
834-61,A,Nueva York,Normal,Normal,Electronic accessories,361.83,379.92,1/26/2019,18:22,Cash,5.5
,B,Chicago,Member,Female,Fashion accessories,383.11,402.27,3/14/2019,19:02,Credit card,8.5
565-67-6697,B,Chicago,Member,Male,Home and lifestyle,243.00,255.15,3/2/2019,14:16,Cash,4.8
320-49-6392,C,Houston,Normal,Female,Electronic accessories,30.24,31.75,3/4/2019,15:44,Cash,8.4
889-04-9723,B,Chicago,Member,Female,Food and beverages,356.56,374.39,1/7/2019,12:20,Credit card,7.8
632-90-0281,C,Houston,Normal,Female,Fashion accessories,375.50,394.28,3/8/2019,20:01,Credit card,9.3
554-42-2417,C,Houston,Normal,Female,Sports and travel,954.40,"1,002.12",1/9/2019,13:45,Cash,5.2
453-63-6187,B,Chicago,Normal,Male,Electronic accessories,82.50,86.63,3/1/2019,15:40,Ewallet,6.5
578-80-7669,B,Chicago,Normal,Male,Sports and travel,74.97,78.72,3/16/2019,16:58,Cash,5.6
612-36-5536,A,Nueva York,Member,Male,Food and beverages,647.68,680.06,2/17/2019,11:12,Credit card,7.4
605-72-4132,C,Houston,Normal,Female,Food and beverages,755.76,793.55,2/27/2019,15:12,Cash,9.1
471-41-2823,C,Houston,Normal,Male,Food and beverages,199.58,209.56,3/7/2019,20:37,Ewallet,8
462-67-9126,A,Nueva York,Normal,Male,Home and lifestyle,439.32,461.29,1/21/2019,,Cash,7.2
272-27-9238,C,Houston,Normal,Female,Food and beverages,164.96,173.21,2/19/2019,16:23,Cash,7.1
834-25-9262,C,Houston,Normal,Female,Fashion accessories,326.72,343.06,1/6/2019,12:12,Cash,9.1
122-61-9553,C,Houston,Normal,Female,Electronic accessories,461.88,484.97,3/14/2019,19:33,Cash,5.6
468-88,A,Nueva York,Member,Male,Home and lifestyle,263.76,276.95,3/24/2019,10:29,Cash,6
,,,,,,,,,,,
254-31-0042,A,Nueva York,Member,Male,Electronic accessories,193.50,203.18,3/6/2019,12:46,Credit card,7.8
201-86-2184,,Chicago,Member,Female,Electronic accessories,13:38,193.01,2/2/2019,19:40,Cash,9.9
261-12-8671,B,Chicago,Normal,Female,Fashion accessories,121.92,128.02,1/25/2019,19:39,Credit card,4.9
730-70-9830,C,Houston,Normal,Female,Home and lifestyle,420.66,441.69,3/14/2019,17:54,Ewallet,5.2
382-25-8917,C,Houston,Normal,Male,Fashion accessories,252.48,265.10,1/29/2019,12:25,Cash,8.9
422-29-8786,A,Nueva York,Normal,Female,Home and lifestyle,335.45,352.22,1/3/2019,16:47,Credit card,9.1
667-23-5919,A,Nueva York,Member,Female,Fashion accessories,,507.68,1/14/2019,12:52,Ewallet,7
843-01-4703,B,Chicago,Member,Female,Home and lifestyle,318.42,334.34,1/5/2019,19:50,Credit card,9.6
743-88-1662,C,Houston,Normal,Male,,13:38,701.85,2/22/2019,18:17,Ewallet,8.7
595-86-2894,C,Houston,Member,,Fashion accessories,387.92,407.32,2/6/2019,17:20,Ewallet,9.4
182-69-8360,B,,Normal,Female,Electronic accessories,94.60,99.33,1/30/2019,13:32,Credit card,4
289-15-7034,A,Nueva York,Member,Male,Sports and travel,329.32,345.79,1/11/2019,10:37,Credit card,7.5
462-78-5240,C,Houston,Normal,Female,Electronic accessories,53.22,55.88,3/19/2019,14:35,Cash,4.2
868-52-7573,B,Chicago,Normal,Female,Food and beverages,498.45,523.37,1/14/2019,12:09,Cash,9.9
153-58-4872,C,Houston,Member,Female,Food and beverages,299.56,314.54,3/1/2019,15:32,Ewallet,4.2
662-72-2873,A,Nueva York,Normal,Female,Food and beverages,,214.94,1/6/2019,13:58,Ewallet,9.9
525-88-7307,B,Chicago,Member,Male,Sports and travel,75.82,79.61,1/31/2019,,Cash,5.8
Food and beverages,C,Houston,Normal,Male,Food and beverages,280.62,294.65,3/11/2019,13:37,Cash,6
725-56-0833,A,Nueva York,Normal,Female,Health and beauty,323.20,339.36,2/20/2019,16:49,Credit card,10
394-41-0748,C,Houston,Member,Female,Fashion accessories,13:38,510.96,1/27/2019,14:55,Ewallet,9.5
596-42-3999,B,Chicago,,Male,Food and beverages,127.54,133.92,3/10/2019,14:04,Credit card,6.6
541-89-9860,C,Houston,Member,Female,Fashion accessories,241.44,253.51,2/15/2019,12:31,Cash,8.1
173-82-9529,B,Chicago,Normal,Female,Fashion accessories,379.50,398.48,1/26/2019,14:51,Cash,9.7
563-36-9814,A,Nueva York,Member,Male,Electronic accessories,76.82,80.66,2/13/2019,18:27,Ewallet,7.2
308-47-4913,A,Nueva York,Member,Female,Sports and travel,522.60,548.73,3/9/2019,12:45,Credit card,6.2
885-17-6250,A,Nueva York,Normal,Female,Health and beauty,79.74,83.73,3/6/2019,10:36,Ewallet,7.3
,,Nueva York,Normal,Female,Health and beauty,13:38,406.88,1/24/2019,20:36,Ewallet,4.3
316-01-3952,A,Nueva York,Normal,Female,Food and beverages,271.35,284.92,3/13/2019,14:16,Ewallet,4.6
760-54-1821,B,Chicago,Normal,2/14/2019,Home and lifestyle,122.31,128.43,3/15/2019,10:26,Cash,5.8
Food and beverages,B,Chicago,Member,2/14/2019,Health and beauty,246.36,258.68,3/5/2019,13:30,Credit card,8.3
346-12-3257,B,Chicago,Member,Male,Electronic accessories,173.16,181.82,3/4/2019,16:28,Cash,8
110-05-6330,C,Houston,Normal,Female,Food and beverages,236.58,248.41,3/25/2019,,Credit card,9.4
651-61-0874,C,Houston,Normal,Male,Home and lifestyle,184.88,194.12,3/12/2019,20:04,Credit card,6.2
236-86-3015,C,Houston,Member,Male,Home and lifestyle,13.98,14.68,2/4/2019,13:38,Ewallet,9.8
831-64-0259,B,Chicago,,Female,Fashion accessories,198.75,208.69,2/22/2019,10:43,Ewallet,9.6
